MLPModelWithHook{'validation': 0.8178615488318263, 'id_test': 0.8154219870783944, 'ood_test': 0.7839109619869881, 'ood_validation': 0.7910145461241024, 'train': 0.8157000276621654}
MLPModelWithHook{'validation': 0.8153942030091444, 'id_test': 0.8126494378592868, 'ood_test': 0.7820287245795654, 'ood_validation': 0.7943288528816056, 'train': 0.813169098499566}
MLPModelWithHook{'validation': 0.8190443486334211, 'id_test': 0.8159561479371217, 'ood_test': 0.7823560702156389, 'ood_validation': 0.7928558276560486, 'train': 0.8179368475941865}
MLPModelWithHook{'validation': 0.8163226372620093, 'id_test': 0.8127639009004426, 'ood_test': 0.7824992839314211, 'ood_validation': 0.7917510587368809, 'train': 0.8133217173435419}
MLPModelWithHook{'validation': 0.8274892848512597, 'id_test': 0.824095741974869, 'ood_test': 0.7990506976553868, 'ood_validation': 0.8059289265328669, 'train': 0.8257983078385674}
MLPModelWithHook{'validation': 0.8127615195797881, 'id_test': 0.8091010835834562, 'ood_test': 0.7801260280698883, 'ood_validation': 0.7864113422942368, 'train': 0.8099418458613267}
MLPModelWithHook{'validation': 0.8127615195797881, 'id_test': 0.8091010835834562, 'ood_test': 0.7801260280698883, 'ood_validation': 0.7864113422942368, 'train': 0.8099418458613267}
MLPModelWithHook{'validation': 0.8376766250778994, 'id_test': 0.8336724830849062, 'ood_test': 0.8100372355661034, 'ood_validation': 0.812741668201068, 'train': 0.8368949696193114}
MLPModelWithHook{'validation': 0.8276419041804978, 'id_test': 0.8232309101083584, 'ood_test': 0.7989074839396048, 'ood_validation': 0.8059289265328669, 'train': 0.8254867110321167}
MLPModelWithHook{'validation': 0.8330853269233215, 'id_test': 0.8302640280815994, 'ood_test': 0.8050247555137281, 'ood_validation': 0.8072178236052292, 'train': 0.8313832036603086}
MLPModelWithHook{'validation': 0.8127615195797881, 'id_test': 0.8091010835834562, 'ood_test': 0.7801260280698883, 'ood_validation': 0.7864113422942368, 'train': 0.8099418458613267}
MLPModelWithHook{'validation': 0.834916758874178, 'id_test': 0.8327567787556596, 'ood_test': 0.8049838373092189, 'ood_validation': 0.8120051555882895, 'train': 0.833257553837887}
MLPModelWithHook{'validation': 0.8482455136276342, 'id_test': 0.8471791219412932, 'ood_test': 0.8214534146241663, 'ood_validation': 0.8193702817160744, 'train': 0.8494812549084446}
MLPModelWithHook{'validation': 0.8372569219224948, 'id_test': 0.8351096301571959, 'ood_test': 0.807745816113589, 'ood_validation': 0.8120051555882895, 'train': 0.8352718046224432}
MLPModelWithHook{'validation': 0.8727420826765417, 'id_test': 0.8733539482615582, 'ood_test': 0.8256898387489898, 'ood_validation': 0.8263613623244179, 'train': 0.8726770320313149}
MLPModelWithHook{'validation': 0.8727420826765417, 'id_test': 0.8733539482615582, 'ood_test': 0.8256898387489898, 'ood_validation': 0.8263613623244179, 'train': 0.8726770320313149}
MLPModelWithHook{'validation': 0.8727420826765417, 'id_test': 0.8733539482615582, 'ood_test': 0.8256898387489898, 'ood_validation': 0.8263613623244179, 'train': 0.8726770320313149}
MLPModelWithHook{'validation': 0.8727420826765417, 'id_test': 0.8733539482615582, 'ood_test': 0.8256898387489898, 'ood_validation': 0.8263613623244179, 'train': 0.8726770320313149}
MLPModelWithHook{'validation': 0.8727420826765417, 'id_test': 0.8733539482615582, 'ood_test': 0.8256898387489898, 'ood_validation': 0.8263613623244179, 'train': 0.8726770320313149}
MLPModelWithHook{'validation': 0.8745233339386236, 'id_test': 0.8727734948908001, 'ood_test': 0.8258053731343283, 'ood_validation': 0.828748280605227, 'train': 0.8752812802753529}
MLPModelWithHook{'validation': 0.8745233339386236, 'id_test': 0.8727734948908001, 'ood_test': 0.8258053731343283, 'ood_validation': 0.828748280605227, 'train': 0.8752812802753529}
MLPModelWithHook{'validation': 0.8745233339386236, 'id_test': 0.8727734948908001, 'ood_test': 0.8258053731343283, 'ood_validation': 0.828748280605227, 'train': 0.8752812802753529}
MLPModelWithHook{'validation': 0.8745233339386236, 'id_test': 0.8727734948908001, 'ood_test': 0.8258053731343283, 'ood_validation': 0.828748280605227, 'train': 0.8752812802753529}
MLPModelWithHook{'validation': 0.8745233339386236, 'id_test': 0.8727734948908001, 'ood_test': 0.8258053731343283, 'ood_validation': 0.828748280605227, 'train': 0.8752812802753529}
MLPModelWithHook{'validation': 0.8777919012166334, 'id_test': 0.8754312692936262, 'ood_test': 0.8304764179104478, 'ood_validation': 0.8303817056396149, 'train': 0.8780762853773463}
MLPModelWithHook{'validation': 0.8745233339386236, 'id_test': 0.8727734948908001, 'ood_test': 0.8258053731343283, 'ood_validation': 0.828748280605227, 'train': 0.8752812802753529}
MLPModelWithHook{'validation': 0.8770655529326312, 'id_test': 0.8750846030671707, 'ood_test': 0.8291725373134329, 'ood_validation': 0.8302097661623109, 'train': 0.8776646179592232}
MLPModelWithHook{'validation': 0.8745233339386236, 'id_test': 0.8727734948908001, 'ood_test': 0.8258053731343283, 'ood_validation': 0.828748280605227, 'train': 0.8752812802753529}
MLPModelWithHook{'validation': 0.8745233339386236, 'id_test': 0.8727734948908001, 'ood_test': 0.8258053731343283, 'ood_validation': 0.828748280605227, 'train': 0.8752812802753529}
MLPModelWithHook{'validation': 0.7038951998228017, 'id_test': 0.7054222357229648, 'ood_test': 0.6688753935529765, 'ood_validation': 0.6681683461766449, 'train': 0.7035478351394603}
MLPModelWithHook{'validation': 0.7057684397050913, 'id_test': 0.7063145504252734, 'ood_test': 0.668888566874366, 'ood_validation': 0.6697095435684647, 'train': 0.7049116264793853}
MLPModelWithHook{'validation': 0.7051482454197386, 'id_test': 0.7069600546780073, 'ood_test': 0.6689544334813137, 'ood_validation': 0.6678126852400711, 'train': 0.7047281000345694}
MLPModelWithHook{'validation': 0.7055406132329209, 'id_test': 0.7080105812069664, 'ood_test': 0.6712070714389219, 'ood_validation': 0.6671013633669235, 'train': 0.7056180450794741}
MLPModelWithHook{'validation': 0.7048318197639465, 'id_test': 0.7056817031186715, 'ood_test': 0.670653791940562, 'ood_validation': 0.6649673977474807, 'train': 0.7045255880954622}
MLPModelWithHook{'validation': 0.8158719108945354, 'id_test': 0.8150883454840017, 'ood_test': 0.8012145802321139, 'ood_validation': 0.7991701244813278, 'train': 0.8166855598703607}
MLPModelWithHook{'validation': 0.8206815808625764, 'id_test': 0.8203536350749291, 'ood_test': 0.8096323326000184, 'ood_validation': 0.8096028452874926, 'train': 0.8225813469100712}
MLPModelWithHook{'validation': 0.8168401734012594, 'id_test': 0.8163160692588093, 'ood_test': 0.8057198561473304, 'ood_validation': 0.805334914048607, 'train': 0.8187288736934618}
MLPModelWithHook{'validation': 0.8230547732810176, 'id_test': 0.8227647833130822, 'ood_test': 0.8097377191711346, 'ood_validation': 0.8111440426793124, 'train': 0.8261007829143209}
MLPModelWithHook{'validation': 0.8186374711261589, 'id_test': 0.818284224382341, 'ood_test': 0.8030851918694261, 'ood_validation': 0.8008298755186722, 'train': 0.8194083961766379}
MLPModelWithHook{'validation': 0.8186248140999273, 'id_test': 0.8173729242608343, 'ood_test': 0.8018600729802005, 'ood_validation': 0.79407231772377, 'train': 0.8187597251216852}
MLPModelWithHook{'validation': 0.824535645350125, 'id_test': 0.8235178716079384, 'ood_test': 0.8117927573079, 'ood_validation': 0.8054534676941316, 'train': 0.8253753788199408}
MLPModelWithHook{'validation': 0.8185235578900737, 'id_test': 0.8175184791413528, 'ood_test': 0.8088155866738681, 'ood_validation': 0.7990515708358032, 'train': 0.8190247309795012}
MLPModelWithHook{'validation': 0.8292757016738918, 'id_test': 0.8288337889833941, 'ood_test': 0.8174441121840049, 'ood_validation': 0.814226437462952, 'train': 0.8316105315701083}
MLPModelWithHook{'validation': 0.8244913457583141, 'id_test': 0.8239228938841636, 'ood_test': 0.8104754251689479, 'ood_validation': 0.8045050385299348, 'train': 0.8256213991834656}
MLPModelWithHook{'validation': 0.9665910612032423, 'id_test': 0.966176060483996, 'ood_test': 0.9484875711290806, 'ood_validation': 0.9493949394939494, 'train': 0.9659411858574622}
MLPModelWithHook{'validation': 0.9665910612032423, 'id_test': 0.966176060483996, 'ood_test': 0.9484875711290806, 'ood_validation': 0.9493949394939494, 'train': 0.9659411858574622}
MLPModelWithHook{'validation': 0.9665910612032423, 'id_test': 0.966176060483996, 'ood_test': 0.9484875711290806, 'ood_validation': 0.9493949394939494, 'train': 0.9659411858574622}
MLPModelWithHook{'validation': 0.9665910612032423, 'id_test': 0.966176060483996, 'ood_test': 0.9484875711290806, 'ood_validation': 0.9493949394939494, 'train': 0.9659411858574622}
MLPModelWithHook{'validation': 0.9665910612032423, 'id_test': 0.966176060483996, 'ood_test': 0.9484875711290806, 'ood_validation': 0.9493949394939494, 'train': 0.9659411858574622}
MLPModelWithHook{'validation': 0.9722614709600654, 'id_test': 0.9717039010937936, 'ood_test': 0.960375524873022, 'ood_validation': 0.961001100110011, 'train': 0.9713745454770806}
MLPModelWithHook{'validation': 0.9722614709600654, 'id_test': 0.9716977039630651, 'ood_test': 0.9603510766391012, 'ood_validation': 0.9608910891089109, 'train': 0.9713722215422561}
MLPModelWithHook{'validation': 0.9722490766217992, 'id_test': 0.9716977039630651, 'ood_test': 0.9603510766391012, 'ood_validation': 0.961001100110011, 'train': 0.9713706722523732}
MLPModelWithHook{'validation': 0.9722614709600654, 'id_test': 0.9717039010937936, 'ood_test': 0.960375524873022, 'ood_validation': 0.961001100110011, 'train': 0.971378418701788}
MLPModelWithHook{'validation': 0.9722614709600654, 'id_test': 0.9717039010937936, 'ood_test': 0.960375524873022, 'ood_validation': 0.961001100110011, 'train': 0.971378418701788}
MLPModelWithHook{'validation': 0.9727200614759178, 'id_test': 0.9721872772906145, 'ood_test': 0.9609194980777576, 'ood_validation': 0.9609460946094609, 'train': 0.9720655287648906}
MLPModelWithHook{'validation': 0.9721623162539352, 'id_test': 0.971617141263595, 'ood_test': 0.9601738269431762, 'ood_validation': 0.961001100110011, 'train': 0.971290109178458}
MLPModelWithHook{'validation': 0.9730609057782404, 'id_test': 0.972063334676045, 'ood_test': 0.9603021801712599, 'ood_validation': 0.9608910891089109, 'train': 0.9723606684875987}
MLPModelWithHook{'validation': 0.9736744255224213, 'id_test': 0.9729433272394881, 'ood_test': 0.9615307039257751, 'ood_validation': 0.9627612761276128, 'train': 0.9735311569941917}
MLPModelWithHook{'validation': 0.9727572444907167, 'id_test': 0.9715737613484956, 'ood_test': 0.9602777319373392, 'ood_validation': 0.9601210121012101, 'train': 0.9720841202434864}
MLPModelWithHook{'validation': 0.9239925571903393, 'id_test': 0.9252230216906883, 'ood_test': 0.45120671563483733, 'ood_validation': 0.5518867924528302, 'train': 0.924134570926685}
MLPModelWithHook{'validation': 0.9236886924814117, 'id_test': 0.9248928970686434, 'ood_test': 0.45120671563483733, 'ood_validation': 0.5518867924528302, 'train': 0.9237824064044237}
MLPModelWithHook{'validation': 0.7341859051792051, 'id_test': 0.7361178845013993, 'ood_test': 0.44123819517313745, 'ood_validation': 0.5424528301886793, 'train': 0.7349035838250038}
MLPModelWithHook{'validation': 0.9238987717863494, 'id_test': 0.924934162646399, 'ood_test': 0.45120671563483733, 'ood_validation': 0.5518867924528302, 'train': 0.9241336330717655}
MLPModelWithHook{'validation': 0.9237899807177209, 'id_test': 0.924971676807995, 'ood_test': 0.45120671563483733, 'ood_validation': 0.5518867924528302, 'train': 0.9239301185542403}
